-10	-999     0.25 
-9	-999     0.20 
-8	-999     0.45 
-7	-999     0.37 
-6	-999     0.28 
-5	-999     0.20 
-4	-999     0.17 
-3	-0.12    0.10 
-2	-0.10    0.09 
-1	-0.08    0.08 
0	 0.0   	 0.05 
1	 0.01   -999 
2	 0.04   -999 
3	 0.05   -999 
4	 0.09   -999 
5	 0.20   -999 
6	 0.25   -999 
7	 0.32   -999 
8	 0.35   -999 
9	 0.39   -999 
10	 0.45   -999 
11	 0.65   -0.12 
12	 0.90   -0.12 
13	 0.45   -0.12 
14	 0.0    -0.12 
15	-0.1    -999 
16	-0.2    -999 
17 	-0.3    -999 
18	-0.4    -999 
